Специализация;Динамика;Медиана зарплаты
Архитектор ПО;0,05;210000
Мобайл;0,07;150000
Бэкенд;0,08;140000
Системный инженер;0,40;140000
Геймдев;-0,08;120000
Фронтенд;0,09;120000
Фулстэк;0,09;120000
Разработчик баз данных;-0,06;110000
Эмбед;0,00;100000
Десктоп;-0,01;94000
